,country,year,iso_code,population,co2,co2_growth_abs,co2_including_luc,co2_per_capita,co2_per_gdp,co2_per_unit_energy,energy_per_capita,energy_per_gdp,primary_energy_consumption,total_ghg
0,Australia,2007,AUS,20830832.0,399.676,7.24,478.73,19.187,0.437,0.265,72304.695,1.648,1506.167,649.59
1,Australia,2008,AUS,21247876.0,404.256,4.579,669.525,19.026,0.429,0.264,72089.344,1.626,1531.745,620.49
2,Australia,2009,AUS,21660898.0,407.477,3.221,513.325,18.812,0.422,0.27,69689.844,1.564,1509.545,638.23
3,Australia,2010,AUS,22019166.0,405.512,-1.965,930.031,18.416,0.408,0.269,68523.875,1.518,1508.839,619.73
4,Australia,2011,AUS,22357032.0,404.257,-1.255,672.947,18.082,0.394,0.259,69714.188,1.519,1558.602,661.98
5,Australia,2012,AUS,22729272.0,406.58,2.323,565.165,17.888,0.382,0.265,67583.031,1.443,1536.113,662.98
6,Australia,2013,AUS,23111788.0,399.288,-7.292,556.81,17.276,0.367,0.257,67307.039,1.431,1555.586,578.02
7,Australia,2014,AUS,23469578.0,393.049,-6.239,475.239,16.747,0.352,0.251,66744.195,1.402,1566.458,594.51
8,Australia,2015,AUS,23820240.0,401.378,8.329,437.515,16.85,0.35,0.251,67234.93,1.398,1601.552,594.35
9,Australia,2016,AUS,24195706.0,410.254,8.875,500.961,16.956,0.349,0.255,66407.094,1.366,1606.766,604.94
10,Australia,2017,AUS,24590336.0,413.655,3.402,458.144,16.822,0.343,0.258,65146.316,1.329,1601.97,651.17
11,Australia,2018,AUS,24979228.0,415.351,1.695,438.926,16.628,0.335,0.256,65072.668,1.312,1625.465,646.62
12,Australia,2019,AUS,25357168.0,415.811,0.461,425.544,16.398,,0.247,66263.539,,1680.256,636.3
13,Australia,2020,AUS,25670052.0,396.685,-19.126,400.012,15.453,,0.25,61826.211,,1587.082,585.42
14,Australia,2021,AUS,25921094.0,386.607,-10.078,380.45,14.915,,0.243,61439.91,,1592.59,
15,Australia,2022,AUS,26177410.0,392.279,5.672,376.878,14.985,,0.236,63458.84,,1661.188,
16,Austria,2007,AUT,8294720.0,74.118,-2.7,73.537,8.936,0.22,0.18,49669.195,1.225,411.992,79.23
17,Austria,2008,AUT,8321134.0,73.495,-0.622,73.125,8.832,0.214,0.175,50475.008,1.225,420.009,78.98
18,Austria,2009,AUT,8342939.0,67.315,-6.18,66.338,8.069,0.203,0.165,48765.184,1.228,406.845,71.79
19,Austria,2010,AUT,8362829.0,72.017,4.702,70.79,8.612,0.212,0.171,50240.961,1.24,420.157,77.58
20,Austria,2011,AUT,8391201.0,69.909,-2.108,68.801,8.331,0.2,0.177,47200.484,1.132,396.069,74.86
