,Country,TSTavg,TST SD avg,SOLavg,SOL SD avg,SEavg,SE SD avg,WASOavg,WASO SD avg,SOTwd,SOTwd SD,WTwd,WTwd SD,MSTwd,MSTwd SD
0,South Africa,421.345,40.82,11.7,4.72,85.16499999999999,4.484999999999999,51.025,20.595,22:37:42,58.59,06:20:56,54.77,02:29:11,53.31
1,Hong Kong (China),400.35,45.095,11.35,3.925,85.055,4.66,47.555,22.049999999999997,00:11:29,84.99,07:28:46,79.13,03:50:00,78.81
2,India,386.46500000000003,44.655,11.915,3.875,84.215,4.71,48.82,20.085,00:12:20,86.42,07:25:26,89.71,03:48:45,85.49
3,Japan,375.385,47.03,12.84,4.535,83.155,5.119999999999999,50.835,22.994999999999997,00:27:50,87.11,07:22:04,87.08,03:54:53,83.92
4,Singapore,394.37,46.855000000000004,11.68,3.925,84.76499999999999,4.8149999999999995,47.405,21.39,00:12:47,82.59,07:25:45,74.78,03:49:09,75.32
5,South Korea,387.655,46.82,12.455,3.755,84.03,4.869999999999999,49.42,21.68,00:05:02,91.44,07:09:59,87.50,03:37:27,86.61
6,Thailand,400.12,43.59,11.665,4.130000000000001,85.205,4.395,45.85,20.595,23:56:45,85.36,07:18:01,81.32,03:37:17,80.34
7,Austria,426.07000000000005,40.83,11.95,4.4399999999999995,86.11500000000001,4.225,45.715,20.04,23:24:33,67.07,07:03:46,63.80,03:14:01,62.38
8,Belgium,425.83500000000004,43.41,11.215,4.2,85.91,4.3,47.29,20.125,23:37:22,61.14,07:19:05,58.05,03:28:05,55.82
9,Czech Republic,424.635,39.745,11.385,4.235,86.4,4.105,43.935,19.284999999999997,23:29:12,66.32,07:05:13,63.43,03:17:05,61.98
10,Denmark,421.61,40.675,11.99,4.355,85.49000000000001,4.545,48.4,21.575,23:22:45,60.12,07:03:06,59.96,03:12:48,56.67
11,Estonia,430.215,42.755,11.975,4.415,86.34,4.545,44.635,20.85,23:56:59,65.40,07:37:43,60.69,03:47:10,59.85
12,Finland,434.03,41.3,12.01,4.42,86.64,4.234999999999999,43.74,20.52,23:32:35,61.77,07:15:24,58.61,03:23:51,56.77
13,France,423.57000000000005,42.415,11.504999999999999,4.365,85.83,4.425,47.230000000000004,21.21,23:48:14,64.11,07:27:27,62.34,03:37:42,59.75
14,Germany,423.735,41.275,11.510000000000002,4.2,86.09,4.295,46.025,20.475,23:31:21,65.88,07:07:32,64.29,03:19:20,61.99
15,Greece,419.63,43.04,11.755,4.52,86.01,4.25,44.755,19.205,00:00:02,78.33,07:35:04,74.54,03:47:28,73.76
16,Ireland,426.105,41.17,11.629999999999999,4.385,85.44,4.3,49.455,20.744999999999997,23:39:14,64.75,07:26:59,63.10,03:32:58,60.90
17,Italy,415.82,41.175,11.61,4.085,86.13499999999999,4.21,43.86,19.035,23:50:14,62.00,07:17:33,59.63,03:33:46,57.61
18,Netherlands,427.855,42.19,11.47,4.17,85.69,4.325,48.400000000000006,20.91,23:34:43,62.84,07:21:16,59.11,03:27:52,57.61
19,Norway,423.03499999999997,41.864999999999995,11.68,4.345000000000001,86.07,4.195,45.71,20.945,23:49:52,69.01,07:23:53,68.84,03:36:43,65.40
20,Poland,421.1,40.945,11.73,4.57,86.33500000000001,4.005,43.32,18.305,23:45:52,67.90,07:20:36,63.34,03:33:08,62.52
21,Portugal,419.205,44.31,10.99,3.88,85.61500000000001,4.57,48.185,21.89,00:01:29,73.58,07:39:07,70.99,03:50:14,68.75
22,Romania,418.33000000000004,42.265,12.735,4.734999999999999,85.745,4.28,45.635,19.85,00:05:50,75.21,07:39:21,71.51,03:52:30,70.32
23,Russia,424.04499999999996,40.165,12.035,4.12,86.075,4.15,44.519999999999996,19.72,00:33:19,76.81,08:12:24,76.66,04:22:44,74.11
24,Slovakia,425.19,38.85,11.575,4.02,86.655,3.915,42.385,18.545,23:20:38,62.44,06:56:05,55.89,03:08:16,56.05
25,Spain,418.525,41.96,12.01,4.365,85.73,4.359999999999999,46.459999999999994,20.25,23:59:04,63.10,07:33:24,61.51,03:46:09,58.89
26,Sweden,425.58,40.79,11.675,4.415,86.285,4.1850000000000005,44.96,19.775,23:25:54,64.35,07:04:02,62.30,03:14:51,60.02
27,Switzerland,424.53999999999996,41.614999999999995,11.5,4.415,86.46000000000001,4.325,44.155,20.115000000000002,23:29:44,61.91,07:03:19,59.40,03:16:25,57.33
28,UK,423.40999999999997,43.065,11.5,4.18,85.59,4.605,48.445,21.755000000000003,23:27:20,67.59,07:10:12,64.69,03:18:38,62.86
29,UAE,401.735,43.81,11.51,3.9850000000000003,85.25,4.415,46.834999999999994,20.275,23:57:14,87.18,07:20:17,87.39,03:38:36,84.69
30,Canada,423.465,45.14,11.715,4.58,85.67,4.665,48.24,22.130000000000003,23:20:30,75.11,07:02:59,70.80,03:11:38,69.48
31,Mexico,411.46,45.385000000000005,11.629999999999999,4.135,85.35,4.33,47.86,20.130000000000003,23:36:02,67.97,07:08:12,64.85,03:22:00,62.56
32,USA,420.7,46.195,11.48,4.4,85.67,4.615,48.285,21.765,23:07:47,76.95,06:46:35,73.64,02:57:05,71.80
33,Australia,423.26,43.185,11.54,4.27,85.41,4.585,49.620000000000005,21.67,22:52:22,70.86,06:38:04,66.62,02:45:05,65.61
34,New Zealand,430.35,43.015,11.7,4.27,85.65,4.52,49.135,21.48,22:52:50,63.52,06:42:30,56.23,02:47:31,56.68
