Country,SOTdiff (SD),WTdiff (SD),MSTdiff (SD),TSTdiff (SD)
South Africa,20.01 (28.44),38.70 (32.87),29.39 (26.95),14.36 (25.03)
Hong Kong (China),26.89 (31.37),48.65 (44.18),37.78 (34.12),17.60 (29.81)
India,20.38 (26.12),25.07 (31.20),22.83 (26.56),3.58 (19.78)
Japan,19.67 (32.89),43.88 (51.58),31.79 (38.09),18.70 (34.35)
Singapore,25.27 (29.01),43.36 (39.25),34.32 (30.42),15.00 (28.68)
South Korea,21.23 (27.77),45.72 (50.34),33.47 (35.25),18.05 (33.42)
Thailand,19.33 (26.36),29.08 (35.19),24.21 (27.73),7.84 (24.83)
Austria,29.10 (32.53),54.92 (40.39),41.97 (33.14),21.19 (27.01)
Belgium,24.16 (25.55),47.61 (35.70),35.87 (27.22),18.68 (26.03)
Czech Republic,26.41 (27.97),52.05 (37.08),39.22 (28.87),21.33 (27.99)
Denmark,40.93 (35.41),60.67 (40.71),50.85 (34.91),15.19 (26.76)
Estonia,34.88 (34.65),63.69 (40.45),49.35 (33.73),23.25 (29.49)
Finland,37.74 (31.72),68.29 (41.25),53.00 (32.91),24.43 (28.66)
France,24.07 (27.19),47.85 (37.72),35.93 (28.80),19.44 (27.50)
Germany,32.95 (31.03),60.65 (40.16),46.75 (31.89),22.37 (28.37)
Greece,28.38 (27.28),47.62 (35.76),37.94 (27.69),15.70 (26.87)
Ireland,33.41 (34.13),49.53 (39.04),41.53 (33.44),12.13 (26.72)
Italy,23.15 (26.21),48.38 (36.23),35.76 (27.64),20.16 (26.46)
Netherlands,28.12 (30.24),48.10 (36.32),38.07 (29.79),15.51 (26.31)
Norway,38.21 (34.85),68.22 (41.83),53.28 (34.64),24.51 (29.48)
Poland,32.24 (29.28),52.24 (39.10),42.15 (30.23),15.69 (29.48)
Portugal,23.91 (27.93),43.92 (35.98),33.80 (28.41),15.88 (25.32)
Romania,25.23 (27.35),46.65 (37.47),35.85 (29.01),17.17 (26.28)
Russia,25.27 (27.23),44.69 (36.40),35.01 (28.30),16.22 (26.29)
Slovakia,24.62 (26.62),49.27 (34.24),36.92 (27.02),20.12 (24.75)
Spain,30.88 (30.22),52.56 (38.53),41.73 (30.67),17.08 (27.91)
Sweden,34.17 (30.69),59.51 (38.23),46.83 (31.13),20.12 (26.37)
Switzerland,29.81 (30.04),60.60 (39.70),45.14 (31.40),25.08 (28.17)
UK,26.16 (29.44),44.75 (35.77),35.43 (29.15),14.25 (25.73)
UAE,31.60 (32.00),43.05 (44.88),37.43 (35.64),8.51 (27.00)
Canada,26.47 (30.26),45.45 (38.31),35.95 (30.92),14.87 (26.14)
Mexico,35.94 (33.77),50.81 (39.27),43.28 (32.83),10.88 (27.61)
USA,25.66 (31.06),46.46 (41.31),36.06 (32.67),16.62 (27.99)
Australia,26.03 (30.05),41.01 (36.67),33.48 (29.86),11.09 (26.12)
New Zealand,23.76 (26.05),44.00 (33.25),33.88 (25.57),15.70 (26.41)
