Country,SOTwe (SD),WTwe (SD),MSTwe (SD)
South Africa,22:57:43 (66.54),06:59:38 (63.31),02:58:35 (61.71)
Hong Kong (China),00:38:22 (87.79),08:17:25 (87.08),04:27:46 (84.01)
India,00:32:43 (90.23),07:50:30 (96.50),04:11:35 (90.83)
Japan,00:47:31 (93.19),08:05:56 (98.03),04:26:41 (92.25)
Singapore,00:38:03 (87.31),08:09:07 (85.63),04:23:28 (83.24)
South Korea,00:26:16 (98.92),07:55:42 (98.75),04:10:55 (95.84)
Thailand,00:16:04 (89.45),07:47:05 (89.04),04:01:30 (86.47)
Austria,23:53:39 (74.98),07:58:41 (69.66),03:55:59 (69.28)
Belgium,00:01:32 (64.41),08:06:42 (63.86),04:03:57 (60.23)
Czech Republic,23:55:37 (71.84),07:57:15 (68.91),03:56:18 (67.59)
Denmark,00:03:41 (71.19),08:03:46 (68.38),04:03:39 (66.82)
Estonia,00:31:52 (72.16),08:41:25 (67.90),04:36:31 (66.86)
Finland,00:10:20 (69.30),08:23:41 (66.80),04:16:51 (64.72)
France,00:12:18 (71.94),08:15:19 (70.77),04:13:38 (67.99)
Germany,00:04:18 (72.56),08:08:11 (70.22),04:06:05 (68.08)
Greece,00:28:25 (80.71),08:22:41 (77.64),04:25:24 (76.23)
Ireland,00:12:38 (74.11),08:16:31 (70.52),04:14:29 (69.29)
Italy,00:13:22 (68.01),08:05:56 (65.41),04:09:32 (63.52)
Netherlands,00:02:50 (70.84),08:09:22 (68.31),04:05:56 (66.05)
Norway,00:28:05 (77.79),08:32:06 (77.77),04:29:59 (74.68)
Poland,00:18:07 (75.21),08:12:50 (72.68),04:15:17 (71.11)
Portugal,00:25:24 (79.25),08:23:02 (77.65),04:24:02 (75.32)
Romania,00:31:04 (79.02),08:26:00 (75.20),04:28:21 (74.04)
Russia,00:58:36 (82.10),08:57:05 (80.03),04:57:45 (78.47)
Slovakia,23:45:15 (68.01),07:45:21 (62.06),03:45:11 (61.95)
Spain,00:29:57 (70.48),08:25:58 (69.82),04:27:52 (66.81)
Sweden,00:00:04 (73.02),08:03:33 (70.66),04:01:40 (68.76)
Switzerland,23:59:33 (68.72),08:03:56 (66.24),04:01:33 (64.20)
UK,23:53:30 (73.66),07:54:56 (71.69),03:54:04 (69.39)
UAE,00:28:49 (92.79),08:03:20 (97.40),04:16:01 (92.34)
Canada,23:46:59 (80.64),07:48:26 (75.90),03:47:34 (74.91)
Mexico,00:11:58 (76.08),07:59:00 (73.11),04:05:17 (70.87)
USA,23:33:27 (81.75),07:33:02 (78.32),03:33:08 (76.53)
Australia,23:18:24 (75.91),07:19:05 (73.30),03:18:34 (71.36)
New Zealand,23:16:36 (69.64),07:26:30 (62.12),03:21:24 (62.30)
