,year,iso3c,country,pop,labor_force,gdp_ppp_c,gdp_ppp,gdp,gdp_c,hours_worked,total_hours,hours_per_employed,gdp_over_k_hours_worked,gdp_ppp_over_k_hours_worked,gdp_over_pop,gdp_ppp_over_pop,gdp_ppp_over_labor_force,gdp_ppp_over_pop_c,gdp_over_pop_c,gdp_ppp_over_k_hours_worked_c,continent,penn_hours_worked_over_pop,hours_worked_over_pop,hours_worked_over_pop_combined,hours_worked_over_pop_predicted,hours_worked_over_pop_modelled
12632,2007,AUS,Australia,20827622.0,10937240.0,918699520272.853,762894316238.118,854427259166.209,1095249857104.1,1803.0,19208166002.76092,1796.783493,44482.500778231326,39717.18674903487,41023.75485622934,36628.96879145003,69751.9955892088,44109.66937429789,52586.409389612505,47828.59124295376,5.0,895.7588121008591,922.2447960098816,922.2447960098816,910.8912206347484,922.2447960098816
12633,2007,AUT,Austria,8295487.0,4201262.0,436052887762.183,327137554733.552,389185571506.052,364484726093.492,1606.42899648695,6446165825.119081,1606.428996,60374.73779987075,50749.1683597061,46915.33740045063,39435.60573761998,77866.49695580803,52565.07396879568,43937.71289057436,67645.31034293208,4.0,829.4453648342596,777.0690045224687,777.0690045224687,751.8126981137385,777.0690045224687
12636,2007,BEL,Belgium,10625700.0,4728844.0,516307018968.288,390981633066.397,470922156309.453,428111873071.133,1593.65753175217,7001575001.0888,1593.657532,67259.46036944844,55841.954561023245,44319.165448813066,36795.847150436864,82680.17153164641,48590.40053533301,40290.22775639562,73741.5537058445,4.0,658.8006745573123,658.9283530580385,658.9283530580385,751.8126981137385,658.9283530580385
12654,2007,CAN,Canada,32889025.0,18382598.0,1509262956104.79,1301593351698.17,1468820407783.26,1384576356845.39,1745.0,29683528394.163246,1745.059807,49482.6756536153,43849.010616746826,44659.89514080335,39575.30974840907,70805.73440697392,45889.562129153725,42098.43121969684,50845.13323562843,2.0,898.8707583683221,902.5359795300484,902.5359795300484,872.6858692572889,902.5359795300484
12656,2007,CHE,Switzerland,7551117.0,4307257.0,492432356174.795,384535898319.645,490754683815.144,613559744788.948,1668.9,7068771953.659803,1627.14674,69425.73434711802,54399.25079497782,64991.00514733701,50924.37295298762,89276.28379723917,65213.180536706685,81254.1700504638,69663.07010651856,4.0,943.1177456439784,936.1226893530855,936.1226893530855,814.3286254324705,936.1226893530855
12673,2007,CZE,Czechia,10298828.0,5188504.0,349709536921.897,270711914694.386,190184113270.15,172393922455.409,1775.0173124925,9040416997.491615,1775.017312,21037.09522723555,29944.626975669224,18466.57826212361,26285.701120009577,52175.33121192274,33956.24598467874,16739.17871581203,38682.89892146884,4.0,884.472820927799,877.8102709834183,877.8102709834183,790.6906796829393,877.8102709834183
12674,2007,DEU,Germany,82266372.0,41861246.0,3874796279393.35,2985617483101.35,3425578382921.58,3113153483420.82,1454.0989272944,58559471988.144,1454.098927,58497.42606311624,50984.36481301984,41640.08086951471,36292.07670786005,71321.75385083735,47100.60970469623,37842.35779135635,66168.56586715544,4.0,712.2938449054079,711.8275738249889,711.8275738249889,763.9760880807097,711.8275738249889
12677,2007,DNK,Denmark,5461438.0,2924753.0,292563925272.25,213056919072.337,319423375611.047,294567411335.295,1432.76976799283,4172813000.02088,1432.769768,76548.6916402553,51058.34339359825,58487.04601444656,39011.13938716085,72846.12378287569,53569.02802380069,53935.87024796308,70111.91857166521,4.0,764.0480679739692,764.050237322273,764.050237322273,775.1357495575843,764.050237322273
12689,2007,ESP,Spain,45226803.0,22508326.0,1787355959474.85,1468679547245.25,1474002579820.0,1231003442635.55,1701.30779766684,36021790007.054,1701.307798,40919.74828378468,40771.97571130264,32591.350306587003,32473.65389159278,65250.50095885629,39519.838699959626,27218.44925973543,49618.743519543015,4.0,786.6848735304661,796.4699606791575,796.4699606791575,753.688484426525,796.4699606791575
12690,2007,EST,Estonia,1340680.0,690862.0,41749552573.3083,29760437079.9402,22449129482.617,23407063928.1871,1903.16928348968,1224499116.6822,1903.169283,18333.31619172031,24304.171946302893,16744.584451634244,22198.016737730257,43077.25288109666,31140.57983508988,17459.09831442783,34095.208403603734,4.0,981.4077101771268,913.3418240610736,913.3418240610736,763.0270333704268,913.3418240610736
